product_id,location,quantity_available,quantity_reserved,quantity_returned,last_restock_date,next_restock_date,reorder_level,updated_at
PROD-001,Warehouse-A,150,25,8,2024-01-10T09:00:00Z,2024-02-01T09:00:00Z,20,2024-01-15T10:00:00Z
PROD-002,Warehouse-A,75,12,3,2024-01-08T10:00:00Z,2024-02-05T10:00:00Z,15,2024-01-14T11:00:00Z
PROD-003,Warehouse-A,200,35,5,2024-01-12T08:00:00Z,2024-02-10T08:00:00Z,30,2024-01-15T09:00:00Z
PROD-004,Warehouse-A,300,45,10,2024-01-05T11:00:00Z,2024-01-25T11:00:00Z,50,2024-01-14T14:00:00Z
PROD-005,Warehouse-A,100,18,4,2024-01-03T09:00:00Z,2024-02-03T09:00:00Z,20,2024-01-13T10:00:00Z
PROD-006,Warehouse-A,60,8,2,2024-01-14T12:00:00Z,2024-02-15T12:00:00Z,10,2024-01-15T13:00:00Z
PROD-007,Warehouse-A,120,22,6,2024-01-11T10:00:00Z,2024-02-08T10:00:00Z,25,2024-01-14T15:00:00Z
PROD-008,Warehouse-A,250,40,15,2024-01-13T09:00:00Z,2024-02-12T09:00:00Z,40,2024-01-15T11:00:00Z
PROD-009,Warehouse-A,80,15,3,2024-01-09T11:00:00Z,2024-02-06T11:00:00Z,15,2024-01-14T12:00:00Z
PROD-010,Warehouse-A,90,14,2,2024-01-07T10:00:00Z,2024-02-04T10:00:00Z,15,2024-01-13T14:00:00Z
PROD-011,Warehouse-A,150,28,7,2024-01-06T08:00:00Z,2024-02-02T08:00:00Z,30,2024-01-15T08:00:00Z
PROD-012,Warehouse-A,180,32,9,2024-01-10T09:00:00Z,2024-02-07T09:00:00Z,35,2024-01-14T10:00:00Z
PROD-013,Warehouse-A,110,18,4,2024-01-12T11:00:00Z,2024-02-09T11:00:00Z,20,2024-01-15T12:00:00Z
PROD-014,Warehouse-A,40,6,1,2024-01-15T10:00:00Z,2024-02-20T10:00:00Z,8,2024-01-15T14:00:00Z
PROD-015,Warehouse-A,200,38,12,2024-01-08T13:00:00Z,2024-02-05T13:00:00Z,40,2024-01-14T16:00:00Z
PROD-001,Warehouse-B,80,10,3,2024-01-10T09:00:00Z,2024-02-01T09:00:00Z,15,2024-01-15T10:00:00Z
PROD-002,Warehouse-B,45,5,1,2024-01-08T10:00:00Z,2024-02-05T10:00:00Z,10,2024-01-14T11:00:00Z
PROD-003,Warehouse-B,120,18,2,2024-01-12T08:00:00Z,2024-02-10T08:00:00Z,20,2024-01-15T09:00:00Z
PROD-006,Warehouse-B,35,4,1,2024-01-14T12:00:00Z,2024-02-15T12:00:00Z,8,2024-01-15T13:00:00Z
PROD-014,Warehouse-B,25,3,0,2024-01-15T10:00:00Z,2024-02-20T10:00:00Z,5,2024-01-15T14:00:00Z
